Name,A Concede,A Score,Assists,Away Match,D,Draw Match A,Draw Match H,Follow,GD,Goals Concede,Goals Score,H Concede,H Score,Home Match,L,Lost Match,Num A Match,Num Draw A,Num Draw H,Num H Match,Played,Pts,Rank,Squad,Team Stats,Team Stats 2,W,Won Match,league,url
La Masa,,,,,0,,,No,0,0,0,,,1 (oculto%2013ee1254f3ba806a9273f6c30fd1cded/Fixtures%2013ee1254f3ba81518b41f08c5b51a725/1%2013ee1254f3ba8012a2f7e2a7a8e98f95.html),,,,,,,0,0,,,Rank :  | PTS : 0 | GD : 0,PL : 0 | W : 0 | D : 0 | L : 0,,,,
Nuevo Fortin,,,,,0,,,No,0,0,0,,,,,,,,,,0,0,,,Rank :  | PTS : 0 | GD : 0,PL : 0 | W : 0 | D : 0 | L : 0,,,,
El Fortin,,,,,0,,,No,0,0,0,,,2 (oculto%2013ee1254f3ba806a9273f6c30fd1cded/Fixtures%2013ee1254f3ba81518b41f08c5b51a725/2%2013ee1254f3ba805bb98cec311413be63.html),,,,,,,0,0,,,Rank :  | PTS : 0 | GD : 0,PL : 0 | W : 0 | D : 0 | L : 0,,,,
San Lorenzo Carumbre,,,,,0,,,No,0,0,0,,,,,,,,,,0,0,,,Rank :  | PTS : 0 | GD : 0,PL : 0 | W : 0 | D : 0 | L : 0,,,,
El Ciclon,,,,,0,,,No,0,0,0,,,1 (oculto%2013ee1254f3ba806a9273f6c30fd1cded/Fixtures%2013ee1254f3ba81518b41f08c5b51a725/1%2013ee1254f3ba80a18c1bee044ed88e78.html),,,,,,,0,0,,,Rank :  | PTS : 0 | GD : 0,PL : 0 | W : 0 | D : 0 | L : 0,,,,
Tortuguitas,,,,,0,,,No,0,0,0,,,,,,,,,,0,0,,,Rank :  | PTS : 0 | GD : 0,PL : 0 | W : 0 | D : 0 | L : 0,,,,
Union de Alberti,,,,,0,,,No,0,0,0,,,2 (oculto%2013ee1254f3ba806a9273f6c30fd1cded/Fixtures%2013ee1254f3ba81518b41f08c5b51a725/2%2013ee1254f3ba8089adf7f1c356fbd091.html),,,,,,,0,0,,,Rank :  | PTS : 0 | GD : 0,PL : 0 | W : 0 | D : 0 | L : 0,,,,
Los Polvorines,,,,,0,,,No,0,0,0,,,,,,,,,,0,0,,,Rank :  | PTS : 0 | GD : 0,PL : 0 | W : 0 | D : 0 | L : 0,,,,
Borussia,,,,,0,,,No,0,0,0,,,1 (oculto%2013ee1254f3ba806a9273f6c30fd1cded/Fixtures%2013ee1254f3ba81518b41f08c5b51a725/1%2013ee1254f3ba80fcaf0de63622badd19.html),,,,,,,0,0,,,Rank :  | PTS : 0 | GD : 0,PL : 0 | W : 0 | D : 0 | L : 0,,,,
Deportivo Obrero,,,,,0,,,No,0,0,0,,,,,,,,,,0,0,,,Rank :  | PTS : 0 | GD : 0,PL : 0 | W : 0 | D : 0 | L : 0,,,,
Los Tucu,,,,,0,,,No,0,0,0,,,2 (oculto%2013ee1254f3ba806a9273f6c30fd1cded/Fixtures%2013ee1254f3ba81518b41f08c5b51a725/2%2013ee1254f3ba80a8b465d8a4b03926ed.html),,,,,,,0,0,,,Rank :  | PTS : 0 | GD : 0,PL : 0 | W : 0 | D : 0 | L : 0,,,,
Devoto,,,,,0,,,No,0,0,0,,,,,,,,,,0,0,,,Rank :  | PTS : 0 | GD : 0,PL : 0 | W : 0 | D : 0 | L : 0,,,,
El Vajo,,,,,0,,,No,0,0,0,,,1 (oculto%2013ee1254f3ba806a9273f6c30fd1cded/Fixtures%2013ee1254f3ba81518b41f08c5b51a725/1%2013ee1254f3ba8083904dfd97d0086ba3.html),,,,,,,0,0,,,Rank :  | PTS : 0 | GD : 0,PL : 0 | W : 0 | D : 0 | L : 0,,,,
Los Pibes de Garin,,,,,0,,,No,0,0,0,,,,,,,,,,0,0,,,Rank :  | PTS : 0 | GD : 0,PL : 0 | W : 0 | D : 0 | L : 0,,,,
Villa Del Carmen,,,,,0,,,No,0,0,0,,,2 (oculto%2013ee1254f3ba806a9273f6c30fd1cded/Fixtures%2013ee1254f3ba81518b41f08c5b51a725/2%2013ee1254f3ba8025b627cf6704984ea0.html),,,,,,,0,0,,,Rank :  | PTS : 0 | GD : 0,PL : 0 | W : 0 | D : 0 | L : 0,,,,
El Prisma,,,,,0,,,No,0,0,0,,,,,,,,,,0,0,,,Rank :  | PTS : 0 | GD : 0,PL : 0 | W : 0 | D : 0 | L : 0,,,,
La Vieja Guardia,,,,,0,,,No,0,0,0,,,,,,,,,,0,0,,,Rank :  | PTS : 0 | GD : 0,PL : 0 | W : 0 | D : 0 | L : 0,,,,
